(171, 'Super Mario Bros. 2', 0, '10/01/1988', 'Nintendo', 'Nintendo', '|Action|Adventure|', NULL, '7', NULL),
(173, 'Perfect Dark', 4, '05/22/2000', 'Rare Ltd.', 'Nintendo', '|Action|Shooter|', 'M - Mature', '3', NULL),
(175, 'The Legend of Zelda: Majora''s Mask', 1, '10/26/2000', 'Nintendo EAD', 'Nintendo', '|Adventure|', 'E - Everyone', '3', NULL),
(176, 'Banjo-Tooie', 1, '2001', 'Rareware', 'Nintendo', '|Adventure|', 'E - Everyone', '3', NULL),
(177, 'Shadow Man', NULL, NULL, NULL, NULL, '|Shooter|', 'M - Mature', '3', NULL),
(178, 'Diddy Kong Racing', 4, '11/21/1997', 'Rareware', 'Rareware', '|Adventure|Vehicle Simulation|', 'E - Everyone', '3', NULL),
(179, 'Full Throttle', NULL, '04/30/1995', 'LucasArts', 'LucasArts', '|Adventure|Puzzle|', 'T - Teen', '1', NULL),
(181, 'Blood Bowl', 0, '06/26/2009', 'Cyanide', 'Focus Home Interactive', '|Strategy|', 'T - Teen', '1', NULL),
(184, 'Shining Force II', NULL, NULL, NULL, NULL, '|Role-Playing|', NULL, '18', NULL),
(185, 'Shining Force III', 0, NULL, NULL, NULL, NULL, NULL, '17', NULL),
(186, 'Mass Effect', 1, '11/20/2007', 'BioWare', 'Electronic Arts', '|Action|Role-Playing|Shooter|', 'M - Mature', '1', NULL),
(187, 'Mass Effect 2', 1, '01/26/2010', 'BioWare', 'Electronic Arts', '|Action|Shooter|', 'M - Mature', '1', NULL),
(188, 'Teenage Mutant Ninja Turtles IV: Turtles In Time', 4, '08/01/1992', 'Konami', 'Konami', '|Action|', NULL, '6', NULL),
(189, 'Mario Bros.', 0, '06/01/1983', 'Nintendo', 'Nintendo', '|Action|', 'E - Everyone', '7', NULL),
(190, 'Batman: Arkham Asylum', 0, '09/15/2009', 'Rocksteady Studios', 'Eidos Interactive', '|Action|Adventure|', 'T - Teen', '1', NULL),
(191, 'Red Dead Redemption', 0, NULL, NULL, NULL, NULL, NULL, '15', NULL),
(193, 'Halo 3: ODST', NULL, NULL, 'Bungie', 'Microsoft', '|Action|', NULL, '15', NULL),
(195, 'Marvel vs. Capcom: Clash of Super Heroes', 0, '01/12/1998', 'Capcom', 'Capcom', '|Action|', 'T - Teen', '16', NULL),
(196, 'Metal Gear Solid', 1, '09/03/1998', 'Konami Computer', 'Konami', '|Action|', 'M - Mature', '10', NULL),
(197, 'Warhammer Online: Age of Reckoning', NULL, NULL, NULL, NULL, NULL, NULL, '1', NULL),
(198, 'Zelda II: The Adventures of Link', 1, '01/14/1987', 'Nintendo EAD', 'Nintendo', '|Role-Playing|', 'E - Everyone', '5', NULL),
(202, '1942', NULL, '12/01/1984', 'Capcom', 'Capcom', '|Shooter|', 'E - Everyone', '23', NULL),
(200, 'Ikaruga', 0, '09/05/2002', 'Treasure', 'Sega', '|Shooter|', 'E - Everyone', '16', NULL),
(201, 'Uncharted 2: Among Thieves', NULL, '10/13/2009', 'Naughty Dog Software', 'Sony Computer Entertainment', '|Action|Adventure|', 'T - Teen', '12', NULL),
(203, 'Aero Fighters', 2, '1992', 'Video System', 'Tecmo', '|Shooter|', 'E - Everyone', '6', NULL),
(204, 'Bubble Bobble', 2, '01/01/1986', 'Taito', 'Taito', '|Strategy|', 'E - Everyone', '18', NULL),
(205, 'BurgerTime', 0, '01/01/1982', 'Data East', 'Data East', '|Puzzle|', 'E - Everyone', '7', NULL),
(206, 'Commando', 0, NULL, NULL, NULL, NULL, NULL, '22', NULL),
(207, 'Dig Dug', 0, '01/01/1982', 'Namco', 'Namco', '|Puzzle|', 'E - Everyone', '22', NULL),
(208, 'Double Dragon', 2, '01/01/1987', 'Technos Japan', 'Taito Corporation', '|Action|', 'E - Everyone', '7', NULL),
(209, 'Golden Axe', 0, '05/01/1989', 'Sega', 'Sega', '|Adventure|', 'T - Teen', '18', NULL),
(216, 'Super Mario 64', 1, '06/23/1996', 'Nintendo', 'Nintendo', '|Adventure|Puzzle|', 'E - Everyone', '3', NULL),
(211, 'Rad Racer', NULL, '08/17/1987', 'Square', 'Square', '|Vehicle Simulation|', 'E - Everyone', '7', NULL),
(212, 'Chubby Cherub', 1, '01/01/1985', 'TOSE', 'Bandai', '|Action|', 'E - Everyone', '7', NULL),
(213, 'Excitebike', 2, '11/30/1984', 'Nintendo', 'Nintendo', '|Racing|', 'E - Everyone', '7', NULL),
(215, 'DoDonPachi', 0, '02/05/1997', 'Cave', 'Atlus', '|Shooter|', 'E - Everyone', '24', NULL),
(217, 'Command & Conquer', 0, '08/31/1995', 'Westwood Studios', 'Virgin Interactive', '|Strategy|', 'T - Teen', '1', NULL),
